Sound,File,Source,Length,Repeat,Type,Sub Type,Position,What needs,Note,Valence - GN,Noisy,Tone,Gain
Dolphin,nature/short/dolphin_short.wav,,4,N,Nature,Animal Call,39,,,2,1,,0
Trumpet,trumpet_short.wav,,4,N,Nature,Animal Call,43,,,1,0,,0
Mourning Dove,mourning_dove_short.wav,,4,N,Nature,Bird,47,,,3,2,,0
Tennis,tennis_fourhits_short.wav,,5,N,Human,Thunk,15,,Four hits,0,2,,0
Doorbell1,doorbell1_F#5_short.wav,,5,N,Machine,Bell,28,,F#5,1,0,,0
Dolphin,nature/short/dolphin2_short.wav,,5,N,Nature,Animal Call,39,,,2,1,,0
Dolphin,nature/short/dolphin3_short.wav,,5,N,Nature,Animal Call,39,,,2,1,,0
Trumpet,trumpet3_short.wav,,5,N,Nature,Animal Call,43,,,1,0,,0
Rolling Thunder,thunder1_short.wav,,5,N,Nature,Rumble,48,,Long thunder clap far away,2,3,,0
Doorbell1,doorbell1_G#2_short.wav,,6,N,Machine,Bell,28,,G#2,1,0,,0
Train blast,train_blast3_short.wav,,6,N,Machine,Horn,34,,even longer,1,1,A4 falling to Bb4,0
Guinea Pigs,guinea_pigs1_short.wav,,6,N,Nature,Animal Call,38,,,1,1,,0
humpback whale,nature/short/humpback1_short.wav,,6,N,Nature,Animal Call,40,,there vocalizations,0,1,,0
howler monkey,nature/short/howler2_short.wav,,6,N,Nature,Animal Call,42,,,1,2,,0
Common Loon,common_loon_short.wav,,6,N,Nature,Bird,45.5,,,,,,0
Wood thrush,wood_thrush_short.wav,,6,N,Nature,Bird,45.5,,,,,,0
Thunder,thunder2_short.wav,,6,N,Nature,Crash,48,,,0,3,,0
Footsteps on Gravel,human/short/footsteps_gravel2_short.wav,,7,N,Human,Feet,16,,,0,4,,0
Doorbell1,doorbell1_D#3_short.wav,,7,N,Machine,Bell,28,,D#3,1,0,,0
Medium bell,medium_bell_Dsharp4.wav,,7,N,Machine,Bell,30,,3rd ,2,1,D#4,0
Medium Bell,medium_bell_Fsharp4.wav,,7,N,Machine,Bell,30,,5th,2,1,F#4,0
Cruise ship,cruise_ship3_B_major1st_short.wav,,7,N,Machine,Horn,35,,Tonic of B major,3,1,B2,0
Cruise ship,cruise_ship3_Dsharp_major3rd_short.wav,,7,N,Machine,Horn,35,,3rd of B major,3,1,D#3,0
Cruise ship,cruise_ship3_Fsharp_major5th_short.wav,,7,N,Machine,Horn,35,,5th of B majro,3,1,F#2,0
howler monkey,howler1_short.wav,,7,N,Nature,Animal Call,42,,,1,2,,0
Clock,clock1_loop.wav,,8,Y,Machine,Rhythmic,14.5,,1 bps,0,0,,0
Doorbell1,doorbell1_B4_short.wav,,8,N,Machine,Bell,28,,B4,1,0,,0
Pocket watch,pocketwatch_loop.wav,,8,Y,Machine,Rhythmic,28.5,,5 bps,0,0,,0
Footrace ,human/short/footrace2_short.wav,,9,N,Human,Feet,11,,,2,3,,0
Weaving machine,weaving_machine_loop.wav,,9,Y,Machine,Rhythmic,13.5,,,1,3,,0
Steam train,machine/short/train_blast6_short.wav,,9,N,Machine,Horn,34,,,2,1,C#/F#,0
Crows,crows1_short.wav,,9,N,Nature,Bird,47,,,0,1,,0
Applause Reverb no voices,human/short/applause3_short.wav,,11,N,Human,Applause,2,,,2,1,,0
Applause with Laughter and a hoot,human/short/applause4_short.wav,,12,N,Human,Applause,4,,,3,2,,0
Clap and Cheer,human/short/clap_cheer1_short.wav,,12,N,Human,Applause,4,,Time is 12,3,2,,0
Dark Eyed Junco,dark_eyed_junco_short.wav,,12,N,Nature,Bird,45.5,,,,,,0
Clap and Laugh,human/short/applause1_short.wav,,13,N,Human,Applause,4,,,3,2,,0
Norther Mocking Bird,norther_mocking_bird_short.wav,,14,N,Nature,Bird,45.5,,,,,,0
Bike,bike_spin_loop.wav,,15,Y,Machine,Rumble,21.5,,,0,3,,0
Hydrophone,nature/long/hydrophone2_loop.wav,,15,Y,Nature,Water,26.5,,sounds like a drain,2,3,,0
Heartbeat,heartbeat2_loop.wav,,16,Y,Human,Thump,2.5,,sounds like a sonogram,1,0,,0
humpback whale,nature/short/humpback2_short.wav,,16,N,Nature,Animal Call,40,,trill squeak trill,0,1,,0
Laughter then applause supportive,human/short/applause5_short.wav,,17,N,Human,Applause,4,,time is 12,3,2,,0
bees,nature/long/bees_17second_loop.wav,,17,Y,Nature,Insect,38.5,,,-1,5,,0
summer night,nature/long/summer_night_20second_loop.wav,,18,Y,Nature,Insect,43.5,,,1,5,,0
Copy machine,copy_machine_loop.wav,,22,Y,Machine,Rhythmic,19,,,1,3,,0
Didgeridoo,didgeridoo_loop.wav,,22,Y,Human,Drone,30.5,,,2,2,C to E,0
Train,machine/short/cta1_loop.wav,,22,Y,Machine,Rumble,33.5,,,0,5,,0
Heatbeat,heartbeat1_loop.wav,,25,Y,Human,Thump,1.5,,,1,0,,0
Footsteps on Leaves,human/short/footsteps_leaves_short.wav,,25,N,Human,Feet,12,,,0,3,,0
Hit and Miss Engine,machine/short/hit_and_miss_engine_short.wav,,25,N,Machine,Rhythmic,23,,,0,2,,0
Hydrophone Dry and Rumbly,hydrophone3_loop.wav,,25,Y,Nature,Rumble,25.5,,,2,2,,0
Heartbeat baby,heartbeat3_baby_loop.wav,,26,Y,Human,Thump,7.5,,,,,,0
Cat purr,ursapurr_loop.wav,,26,Y,Nature,Rumble,24,,,2,3,,0
Tree,tree2_loop.wav,,28,Y,Nature,Tree,17.5,,,1,4,,0
Footsteps on Gravel,human/long/footsteps_gravel_loop.wav,,34,Y,Human,Feet,6,,,0,4,,0
Canoe paddle,kayak_loop.wav,,41,Y,Nature,Water,46.5,,,2,3,,0
Footrace ,human/long/footrace1_loop.wav,,65,Y,Human,Feet,5,,,2,3,,0
Rain on Roof,nature/long/rain_on_roof_loop.wav,,100,Y,Nature,Rain,27.5,,,2,4,,0
Dawn Chorus Borneo,borneo_dawn_chorus_loop.wav,,110,Y,Nature,Bird,40.5,,,3,3,,0
Ocean,nature/long/ocean_loop.wav,,151,Y,Nature,Water,45,,,0,5,,0
Stream and Birds,nature/long/stream_and_birds_loop.wav,,797,Y,Nature,Water,41.5,,,3,2,,0
,,,,,,,12.5,,,,,,0
,,,,,,,24.5,,,,,,0
,,,,,,,36.5,,,,,,0
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
