Sound,length_seconds,position,gain,channel,file,sound_id,loop
Cat Meow,1,37,0,5,083_cat_meow1_short.wav,83,FALSE
Cat Meow,1,37,0,6,084_cat_meow2_short.wav,84,FALSE
Cat Meow,1,37,0,1,085_cat_meow3_short.wav,85,FALSE
Cat purr,2,37.5,0,2,086_ursapurr1_short.wav,86,FALSE
Guinea Pigs,6,38,0,3,087_guinea_pigs1_short.wav,87,FALSE
bees,17,38.5,0,4,088_bees_17second_loop.wav,88,TRUE
Dolphin,1,39,0,5,089_dolphin4_short.wav,89,FALSE
Dolphin,1,39,0,6,090_dolphin5_short.wav,90,FALSE
Dolphin,4,39,0,1,091_dolphin_short.wav,91,FALSE
Dolphin,5,39,0,2,092_dolphin2_short.wav,92,FALSE
Dolphin,5,39,0,3,093_dolphin3_short.wav,93,FALSE
humpback whale,6,40,0,4,094_humpback1_short.wav,94,FALSE
humpback whale,16,40,0,5,095_humpback2_short.wav,95,FALSE
Dawn Chorus Borneo,110,40.5,0,6,096_borneo_dawn_chorus_loop.wav,96,TRUE
Gibbon,2,41,0,1,097_gibbon1_short.wav,97,FALSE
Gibbon,2,41,0,2,098_gibbon2_short.wav,98,FALSE
Stream and Birds,797,41.5,0,3,099_stream_and_birds_loop.wav,99,TRUE
howler monkey,6,42,0,4,100_howler2_short.wav,100,FALSE
howler monkey,7,42,0,5,101_howler1_short.wav,101,FALSE
Trumpet,2,43,0,6,102_trumpet2_short.wav,102,FALSE
Trumpet,4,43,0,1,103_trumpet_short.wav,103,FALSE
Trumpet,5,43,0,2,104_trumpet3_short.wav,104,FALSE
summer night,18,43.5,0,3,105_summer_night_20second_loop.wav,105,TRUE
Cow,2,44,0,4,106_cow1_short.wav,106,FALSE
Goats,3,44.5,0,5,107_goats1_short.wav,107,FALSE
seagull single,1,45,0,6,108_seagull1_short.wav,108,FALSE
seagull single,1,45,0,1,109_seagull2_short.wav,109,FALSE
Ocean,151,45,0,2,110_ocean_loop.wav,110,TRUE
Common Loon,6,45.5,0,3,111_common_loon_short.wav,111,FALSE
Wood thrush,6,45.5,0,4,112_wood_thrush_short.wav,112,FALSE
Dark Eyed Junco,12,45.5,0,5,113_dark_eyed_junco_short.wav,113,FALSE
Norther Mocking Bird,14,45.5,0,6,114_norther_mocking_bird_short.wav,114,FALSE
Hermit Thrush,2,46,0,1,115_hermit_thrush1_short.wav,115,FALSE
Hermit Thrush,2,46,0,2,116_hermit_thrush2_short.wav,116,FALSE
Hermit Thrush,2,46,0,3,117_hermit_thrush3_short.wav,117,FALSE
Hermit Thrush,2,46,0,4,118_hermit_thrush4_short.wav,118,FALSE
Canoe paddle,41,46.5,0,5,119_kayak_loop.wav,119,TRUE
Bird,3,47,0,6,120_gnbird1_short.wav,120,FALSE
Mourning Dove,4,47,0,1,121_mourning_dove_short.wav,121,FALSE
Crows,9,47,0,2,122_crows1_short.wav,122,FALSE
Rolling Thunder,5,48,0,3,123_thunder1_short.wav,123,FALSE
Thunder,6,48,0,4,124_thunder2_short.wav,124,FALSE
